ts,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,city_id
2026-02-01 00:00:00,2.0,43,0.0,10.4,JP_TYO
2026-02-01 01:00:00,1.6,44,0.0,8.5,JP_TYO
2026-02-01 02:00:00,1.4,45,0.0,5.3,JP_TYO
2026-02-01 03:00:00,0.3,50,0.0,4.0,JP_TYO
2026-02-01 04:00:00,0.5,48,0.0,3.8,JP_TYO
2026-02-01 05:00:00,0.2,49,0.0,3.6,JP_TYO
2026-02-01 06:00:00,-0.6,51,0.0,4.7,JP_TYO
2026-02-01 07:00:00,-1.0,53,0.0,5.2,JP_TYO
2026-02-01 08:00:00,0.5,47,0.0,3.0,JP_TYO
2026-02-01 09:00:00,2.8,39,0.0,2.4,JP_TYO
2026-02-01 10:00:00,5.5,32,0.0,0.7,JP_TYO
2026-02-01 11:00:00,7.7,32,0.0,3.1,JP_TYO
2026-02-01 12:00:00,8.9,33,0.0,4.0,JP_TYO
2026-02-01 13:00:00,9.7,30,0.0,3.4,JP_TYO
2026-02-01 14:00:00,10.1,28,0.0,3.7,JP_TYO
2026-02-01 15:00:00,10.6,25,0.0,3.8,JP_TYO
2026-02-01 16:00:00,10.2,28,0.0,6.2,JP_TYO
2026-02-01 17:00:00,9.4,34,0.0,6.3,JP_TYO
2026-02-01 18:00:00,8.6,39,0.0,5.6,JP_TYO
2026-02-01 19:00:00,7.8,39,0.0,2.5,JP_TYO
2026-02-01 20:00:00,6.9,40,0.0,1.9,JP_TYO
2026-02-01 21:00:00,5.6,44,0.0,4.3,JP_TYO
2026-02-01 22:00:00,5.2,42,0.0,8.1,JP_TYO
2026-02-01 23:00:00,4.4,42,0.0,8.9,JP_TYO
2026-02-02 00:00:00,3.5,48,0.0,9.3,JP_TYO
2026-02-02 01:00:00,2.8,53,0.0,9.0,JP_TYO
2026-02-02 02:00:00,2.1,55,0.0,8.1,JP_TYO
2026-02-02 03:00:00,1.6,58,0.0,10.3,JP_TYO
2026-02-02 04:00:00,1.6,58,0.0,9.6,JP_TYO
2026-02-02 05:00:00,1.3,59,0.0,6.1,JP_TYO
2026-02-02 06:00:00,1.0,59,0.0,5.6,JP_TYO
2026-02-02 07:00:00,0.6,61,0.0,5.0,JP_TYO
2026-02-02 08:00:00,1.5,56,0.0,4.0,JP_TYO
2026-02-02 09:00:00,4.4,45,0.0,5.2,JP_TYO
2026-02-02 10:00:00,7.3,34,0.0,6.2,JP_TYO
2026-02-02 11:00:00,9.0,30,0.0,3.6,JP_TYO
2026-02-02 12:00:00,9.9,29,0.0,0.7,JP_TYO
2026-02-02 13:00:00,10.4,28,0.0,0.9,JP_TYO
2026-02-02 14:00:00,10.6,28,0.0,3.8,JP_TYO
2026-02-02 15:00:00,10.7,27,0.0,4.4,JP_TYO
2026-02-02 16:00:00,10.1,30,0.0,5.0,JP_TYO
2026-02-02 17:00:00,9.6,32,0.0,3.5,JP_TYO
2026-02-02 18:00:00,9.2,34,0.0,1.4,JP_TYO
2026-02-02 19:00:00,9.2,31,0.0,9.5,JP_TYO
2026-02-02 20:00:00,7.9,32,0.0,15.0,JP_TYO
2026-02-02 21:00:00,6.8,45,0.0,10.3,JP_TYO
2026-02-02 22:00:00,6.4,49,0.0,8.6,JP_TYO
2026-02-02 23:00:00,5.3,55,0.0,6.3,JP_TYO
2026-02-03 00:00:00,4.8,56,0.0,7.1,JP_TYO
2026-02-03 01:00:00,4.6,53,0.0,10.3,JP_TYO
2026-02-03 02:00:00,3.5,49,0.0,11.6,JP_TYO
2026-02-03 03:00:00,2.9,57,0.0,9.3,JP_TYO
2026-02-03 04:00:00,2.7,57,0.0,10.4,JP_TYO
2026-02-03 05:00:00,2.3,56,0.0,10.6,JP_TYO
2026-02-03 06:00:00,2.6,51,0.0,11.8,JP_TYO
2026-02-03 07:00:00,2.7,51,0.0,12.6,JP_TYO
2026-02-03 08:00:00,3.8,46,0.0,10.4,JP_TYO
2026-02-03 09:00:00,5.6,37,0.0,12.2,JP_TYO
2026-02-03 10:00:00,6.4,34,0.0,14.4,JP_TYO
2026-02-03 11:00:00,7.3,29,0.0,16.3,JP_TYO
2026-02-03 12:00:00,8.1,28,0.0,16.4,JP_TYO
2026-02-03 13:00:00,8.6,27,0.0,15.6,JP_TYO
2026-02-03 14:00:00,9.2,25,0.0,13.3,JP_TYO
2026-02-03 15:00:00,9.9,24,0.0,7.8,JP_TYO
2026-02-03 16:00:00,9.4,26,0.0,8.4,JP_TYO
2026-02-03 17:00:00,8.3,29,0.0,7.9,JP_TYO
2026-02-03 18:00:00,7.4,31,0.0,8.0,JP_TYO
2026-02-03 19:00:00,6.4,34,0.0,8.3,JP_TYO
2026-02-03 20:00:00,5.5,39,0.0,6.1,JP_TYO
2026-02-03 21:00:00,4.7,41,0.0,6.0,JP_TYO
2026-02-03 22:00:00,4.3,43,0.0,2.8,JP_TYO
2026-02-03 23:00:00,3.5,46,0.0,9.2,JP_TYO
2026-02-04 00:00:00,2.8,49,0.0,7.4,JP_TYO
2026-02-04 01:00:00,2.6,52,0.0,7.7,JP_TYO
2026-02-04 02:00:00,2.2,56,0.0,9.5,JP_TYO
2026-02-04 03:00:00,1.5,60,0.0,9.9,JP_TYO
2026-02-04 04:00:00,0.9,62,0.0,8.7,JP_TYO
2026-02-04 05:00:00,0.6,63,0.0,8.0,JP_TYO
2026-02-04 06:00:00,0.1,66,0.0,8.1,JP_TYO
2026-02-04 07:00:00,-0.3,68,0.0,7.5,JP_TYO
2026-02-04 08:00:00,0.9,60,0.0,5.1,JP_TYO
2026-02-04 09:00:00,3.0,51,0.0,5.3,JP_TYO
2026-02-04 10:00:00,5.7,41,0.0,5.0,JP_TYO
2026-02-04 11:00:00,7.7,35,0.0,3.5,JP_TYO
2026-02-04 12:00:00,9.1,33,0.0,1.9,JP_TYO
2026-02-04 13:00:00,10.2,31,0.0,3.0,JP_TYO
2026-02-04 14:00:00,10.8,30,0.0,4.5,JP_TYO
2026-02-04 15:00:00,11.0,31,0.0,4.8,JP_TYO
2026-02-04 16:00:00,10.7,32,0.0,4.5,JP_TYO
2026-02-04 17:00:00,9.9,34,0.0,5.0,JP_TYO
2026-02-04 18:00:00,8.9,37,0.0,3.5,JP_TYO
2026-02-04 19:00:00,7.9,40,0.0,1.5,JP_TYO
2026-02-04 20:00:00,7.8,40,0.0,5.4,JP_TYO
2026-02-04 21:00:00,6.7,45,0.0,2.8,JP_TYO
2026-02-04 22:00:00,6.8,41,0.0,5.8,JP_TYO
2026-02-04 23:00:00,6.4,43,0.0,6.4,JP_TYO
2026-02-05 00:00:00,6.2,44,0.0,6.0,JP_TYO
2026-02-05 01:00:00,6.2,44,0.0,5.7,JP_TYO
2026-02-05 02:00:00,5.6,44,0.0,5.5,JP_TYO
2026-02-05 03:00:00,4.1,49,0.0,4.7,JP_TYO
2026-02-05 04:00:00,4.1,49,0.0,6.0,JP_TYO
2026-02-05 05:00:00,3.1,52,0.0,6.0,JP_TYO
2026-02-05 06:00:00,2.5,56,0.0,6.4,JP_TYO
2026-02-05 07:00:00,2.0,59,0.0,5.1,JP_TYO
2026-02-05 08:00:00,3.1,55,0.0,3.5,JP_TYO
2026-02-05 09:00:00,5.9,45,0.0,3.8,JP_TYO
2026-02-05 10:00:00,8.7,36,0.0,2.7,JP_TYO
2026-02-05 11:00:00,10.9,29,0.0,2.1,JP_TYO
2026-02-05 12:00:00,12.4,26,0.0,1.3,JP_TYO
2026-02-05 13:00:00,13.3,25,0.0,3.1,JP_TYO
2026-02-05 14:00:00,13.4,25,0.0,3.8,JP_TYO
2026-02-05 15:00:00,13.1,28,0.0,5.5,JP_TYO
2026-02-05 16:00:00,12.6,30,0.0,6.4,JP_TYO
2026-02-05 17:00:00,11.8,34,0.0,5.4,JP_TYO
2026-02-05 18:00:00,10.9,37,0.0,3.3,JP_TYO
2026-02-05 19:00:00,9.8,41,0.0,3.8,JP_TYO
2026-02-05 20:00:00,9.2,42,0.0,3.9,JP_TYO
2026-02-05 21:00:00,8.1,50,0.0,2.4,JP_TYO
2026-02-05 22:00:00,8.2,56,0.0,2.7,JP_TYO
2026-02-05 23:00:00,8.5,55,0.0,2.3,JP_TYO
2026-02-06 00:00:00,6.9,55,0.0,7.0,JP_TYO
2026-02-06 01:00:00,5.8,50,0.0,8.9,JP_TYO
2026-02-06 02:00:00,5.1,49,0.0,6.5,JP_TYO
2026-02-06 03:00:00,3.9,55,0.0,4.6,JP_TYO
2026-02-06 04:00:00,3.7,56,0.0,2.9,JP_TYO
2026-02-06 05:00:00,3.3,57,0.0,4.5,JP_TYO
2026-02-06 06:00:00,2.2,63,0.0,2.7,JP_TYO
2026-02-06 07:00:00,1.4,68,0.0,2.4,JP_TYO
2026-02-06 08:00:00,3.2,60,0.0,5.7,JP_TYO
2026-02-06 09:00:00,6.9,45,0.0,4.4,JP_TYO
2026-02-06 10:00:00,9.4,35,0.0,3.7,JP_TYO
2026-02-06 11:00:00,10.9,31,0.0,5.2,JP_TYO
2026-02-06 12:00:00,13.2,27,0.0,4.9,JP_TYO
2026-02-06 13:00:00,14.5,25,0.0,3.6,JP_TYO
